ID,Principal_color,CSS_name,HEX,R,G,B
0.0,Green,Lime,00 FF 00,0.1,255.0,0.1
1.0,Green,SpringGreen,00 FF 7F,0.1,255.0,127.0
2.0,Green,MediumSpringGreen,00 FA 9A,0.1,250.0,154.0
3.0,Green,Green,00 80 00,0.1,128.0,0.1
4.0,Green,DarkGreen,00 64 00,0.1,100.0,0.1
5.0,Cyan,Aqua,00 FF FF,0.1,255.0,255.0
6.0,Cyan,Cyan,00 FF FF,0.1,255.0,255.0
7.0,Cyan,DarkTurquoise,00 CE D1,0.1,206.0,209.0
8.0,Cyan,DarkCyan,00 8B 8B,0.1,139.0,139.0
9.0,Cyan,Teal,00 80 80,0.1,128.0,128.0
10.0,Blue,DeepSkyBlue,00 BF FF,0.1,191.0,255.0
11.0,Blue,Blue,00 00 FF,0.1,0.1,255.0
12.0,Blue,MediumBlue,00 00 CD,0.1,0.1,205.0
13.0,Blue,DarkBlue,00 00 8B,0.1,0.1,139.0
14.0,Blue,Navy,00 00 80,0.1,0.1,128.0
15.0,Gray,Black,00 00 00,0.1,0.1,0.1
16.0,Blue,MidnightBlue,19 19 70,25.0,25.0,112.0
17.0,Blue,DodgerBlue,1E 90 FF,30.0,144.0,255.0
18.0,Cyan,LightSeaGreen,20 B2 AA,32.0,178.0,170.0
19.0,Green,ForestGreen,22 8B 22,34.0,139.0,34.0
20.0,Green,SeaGreen,2E 8B 57,46.0,139.0,87.0
21.0,Gray,DarkSlateGray,2F 4F 4F,47.0,79.0,79.0
22.0,Green,LimeGreen,32 CD 32,50.0,205.0,50.0
23.0,Green,MediumSeaGreen,3C B3 71,60.0,179.0,113.0
24.0,Cyan,Turquoise,40 E0 D0,64.0,224.0,208.0
25.0,Blue,RoyalBlue,41 69 E1,65.0,105.0,255.0
26.0,Blue,SteelBlue,46 82 B4,70.0,130.0,180.0
27.0,Cyan,MediumTurquoise,48 D1 CC,72.0,209.0,204.0
28.0,Violet,DarkSlateBlue,48 3D 8B,72.0,61.0,139.0
29.0,Violet,Indigo,4B 00 82,75.0,0.1,130.0
30.0,Green,DarkOliveGreen,55 6B 2F,85.0,107.0,47.0
31.0,Cyan,CadetBlue,5F 9E A0,95.0,158.0,160.0
32.0,Blue,CornflowerBlue,64 95 ED,100.0,149.0,237.0
33.0,Green,MediumAquamarine,66 CD AA,102.0,205.0,170.0
34.0,Gray,DimGray,69 69 69,105.0,105.0,105.0
35.0,Violet,SlateBlue,6A 5A CD,106.0,90.0,205.0
36.0,Green,OliveDrab,6B 8E 23,107.0,142.0,35.0
37.0,Gray,SlateGray,70 80 90,112.0,128.0,144.0
38.0,Gray,LightSlateGray,77 88 99,119.0,136.0,153.0
39.0,Violet,MediumSlateBlue,7B 68 EE,123.0,104.0,238.0
40.0,Green,LawnGreen,7C FC 00,124.0,252.0,0.1
41.0,Green,Chartreuse,7F FF 00,127.0,255.0,0.1
42.0,Cyan,Aquamarine,7F FF D4,127.0,255.0,212.0
43.0,Brown,Maroon,80 00 00,128.0,0.1,0.1
44.0,Green,Olive,80 80 00,128.0,128.0,0.1
45.0,Violet,Purple,80 00 80,128.0,0.1,128.0
46.0,Gray,Gray,80 80 80,128.0,128.0,128.0
47.0,Blue,SkyBlue,87 CE EB,135.0,206.0,235.0
48.0,Blue,LightSkyBlue,87 CE FA,135.0,206.0,250.0
49.0,Violet,BlueViolet,8A 2B E2,138.0,43.0,226.0
50.0,Red,DarkRed,8B 00 00,139.0,0.1,0.1
51.0,Brown,SaddleBrown,8B 45 13,139.0,69.0,19.0
52.0,Violet,DarkMagenta,8B 00 8B,139.0,0.1,139.0
53.0,Green,DarkSeaGreen,8F BC 8F,143.0,188.0,143.0
54.0,Green,LightGreen,90 EE 90,144.0,238.0,144.0
55.0,Violet,MediumPurple,93 70 DB,147.0,112.0,219.0
56.0,Violet,DarkViolet,94 00 D3,148.0,0.1,211.0
57.0,Green,PaleGreen,98 FB 98,152.0,251.0,152.0
58.0,Violet,DarkOrchid,99 32 CC,153.0,50.0,204.0
59.0,Green,YellowGreen,9A CD 32,154.0,205.0,50.0
60.0,Brown,Sienna,A0 52 2D,160.0,82.0,45.0
61.0,Brown,Brown,A5 2A 2A,165.0,42.0,42.0
62.0,Gray,DarkGray,A9 A9 A9,169.0,169.0,169.0
63.0,Green,GreenYellow,AD FF 2F,173.0,255.0,47.0
64.0,Blue,LightBlue,AD D8 E6,173.0,216.0,230.0
65.0,Cyan,PaleTurquoise,AF EE EE,175.0,238.0,238.0
66.0,Blue,LightSteelBlue,B0 C4 DE,176.0,196.0,222.0
67.0,Blue,PowderBlue,B0 E0 E6,176.0,224.0,230.0
68.0,Red,Firebrick,B2 22 22,178.0,34.0,34.0
69.0,Brown,DarkGoldenrod,B8 86 0B,184.0,134.0,11.0
70.0,Violet,MediumOrchid,BA 55 D3,186.0,85.0,211.0
71.0,Brown,RosyBrown,BC 8F 8F,188.0,143.0,143.0
72.0,Yellow,DarkKhaki,BD B7 6B,189.0,183.0,107.0
73.0,Gray,Silver,C0 C0 C0,192.0,192.0,192.0
74.0,Pink,MediumVioletRed,C7 15 85,199.0,21.0,133.0
75.0,Red,IndianRed,CD 5C 5C,205.0,92.0,92.0
76.0,Brown,Peru,CD 85 3F,205.0,133.0,63.0
77.0,Brown,Tan,D2 B4 8C,210.0,180.0,140.0
78.0,Brown,Chocolate,D2 69 1E,210.0,105.0,30.0
79.0,Gray,LightGray,D3 D3 D3,211.0,211.0,211.0
80.0,Violet,Thistle,D8 BF D8,216.0,191.0,216.0
81.0,Brown,Goldenrod,DA A5 20,218.0,165.0,32.0
82.0,Violet,Orchid,DA 70 D6,218.0,112.0,214.0
83.0,Pink,PaleVioletRed,DB 70 93,219.0,112.0,147.0
84.0,Red,Crimson,DC 14 3C,220.0,20.0,60.0
85.0,Gray,Gainsboro,DC DC DC,220.0,220.0,220.0
86.0,Violet,Plum,DD A0 DD,221.0,160.0,221.0
87.0,Brown,Burlywood,DE B8 87,222.0,184.0,135.0
88.0,Cyan,LightCyan,E0 FF FF,224.0,255.0,255.0
89.0,Violet,Lavender,E6 E6 FA,230.0,230.0,250.0
90.0,Red,DarkSalmon,E9 96 7A,233.0,150.0,112.0
91.0,Yellow,PaleGoldenrod,EE E8 AA,238.0,232.0,170.0
92.0,Violet,Violet,EE 82 EE,238.0,130.0,238.0
93.0,Red,LightCoral,F0 80 80,240.0,128.0,128.0
94.0,Yellow,Khaki,F0 E6 8C,240.0,230.0,140.0
95.0,White,Honeydew,F0 FF F0,240.0,255.0,240.0
96.0,White,Azure,F0 FF FF,240.0,255.0,255.0
97.0,White,AliceBlue,F0 F8 FF,240.0,248.0,255.0
98.0,Brown,SandyBrown,F4 A4 60,244.0,164.0,96.0
99.0,Brown,Wheat,F5 DE B3,245.0,222.0,179.0
100.0,White,MintCream,F5 FF FA,245.0,255.0,255.0
101.0,White,WhiteSmoke,F5 F5 F5,245.0,245.0,245.0
102.0,White,Beige,F5 F5 DC,245.0,245.0,220.0
103.0,White,GhostWhite,F8 F8 FF,248.0,248.0,255.0
104.0,Red,Salmon,FA 80 72,250.0,128.0,114.0
105.0,Yellow,LightGoldenrodYellow,FA FA D2,250.0,250.0,210.0
106.0,White,AntiqueWhite,FA EB D7,250.0,235.0,215.0
107.0,White,Linen,FA F0 E6,250.0,240.0,230.0
108.0,White,OldLace,FD F5 E6,253.0,245.0,230.0
109.0,Pink,Pink                         ,FF C0 CB,255.0,192.0,203.0
110.0,Pink,LightPink,FF B6 C1,255.0,182.0,193.0
111.0,Pink,HotPink,FF 69 B4,255.0,105.0,180.0
112.0,Pink,DeepPink,FF 14 93,255.0,20.0,147.0
113.0,Red,LightSalmon,FF A0 7A,255.0,160.0,122.0
114.0,Red,Red,FF 00 00,255.0,0.1,0.1
115.0,Orange,OrangeRed,FF 45 00,255.0,69.0,0.1
116.0,Orange,Tomato,FF 63 47,255.0,99.0,71.0
117.0,Orange,Coral,FF 7F 50,255.0,127.0,80.0
118.0,Orange,DarkOrange,FF 8C 00,255.0,140.0,0.1
119.0,Orange,Orange,FF A5 00,255.0,165.0,0.1
120.0,Yellow,Yellow,FF FF 00,255.0,255.0,0.1
121.0,Yellow,LightYellow,FF FF E0,255.0,255.0,224.0
122.0,Yellow,LemonChiffon,FF FA CD,255.0,250.0,205.0
123.0,Yellow,PapayaWhip,FF EF D5,255.0,239.0,213.0
124.0,Yellow,Moccasin,FF E4 B5,255.0,228.0,181.0
125.0,Yellow,PeachPuff,FF DA B9,255.0,218.0,185.0
126.0,Yellow,Gold,FF D7 00,255.0,215.0,0.1
127.0,Brown,Cornsilk,FF F8 DC,255.0,248.0,220.0
128.0,Brown,BlanchedAlmond,FF EB CD,255.0,235.0,205.0
129.0,Brown,Bisque,FF E4 C4,255.0,228.0,196.0
130.0,Brown,NavajoWhite,FF DE AD,255.0,222.0,173.0
131.0,Violet,Fuchsia,FF 00 FF,255.0,0.1,255.0
132.0,Violet,Magenta,FF 00 FF,255.0,0.1,255.0
133.0,White,White,FF FF FF,255.0,255.0,255.0
134.0,White,Snow,FF FA FA,255.0,250.0,250.0
135.0,White,Seashell,FF F5 EE,255.0,245.0,238.0
136.0,White,FloralWhite,FF FA F0,255.0,250.0,240.0
137.0,White,Ivory,FF FF F0,255.0,255.0,240.0
138.0,White,LavenderBlush,FF F0 F5,255.0,240.0,245.0
139.0,White,MistyRose,FF E4 E1,255.0,228.0,225.0
,Clasificar,Clasificar,,23.0,21.0,26.0
,Clasificar,Clasificar,,219.0,196.0,168.0
,Clasificar,Clasificar,,161.0,119.0,76.0
,Clasificar,Clasificar,,136.0,114.0,91.0
,Clasificar,Clasificar,,64.0,87.0,114.0
,Clasificar,Clasificar,,125.0,157.0,188.0
,Clasificar,Clasificar,,39.0,55.0,77.0
,Clasificar,Clasificar,,50.0,49.0,55.0
,Clasificar,Clasificar,,166.0,113.0,26.0
,Clasificar,Clasificar,,193.0,139.0,42.0
,Clasificar,Clasificar,,140.0,86.0,12.0
,Clasificar,Clasificar,,156.0,104.0,44.0
,Clasificar,Clasificar,,137.0,85.0,33.0
,Clasificar,Clasificar,,152.0,114.0,17.0
,Clasificar,Clasificar,,187.0,130.0,77.0
,Clasificar,Clasificar,,187.0,142.0,43.0
,Clasificar,Clasificar,,196.0,149.0,33.0
,Clasificar,Clasificar,,237.0,27.0,36.0
,Clasificar,Clasificar,,35.0,177.0,77.0
,Clasificar,Clasificar,,202.0,53.0,42.0
,Clasificar,Clasificar,,214.0,48.0,116.0
,Clasificar,Clasificar,,184.0,157.0,20.0
,Clasificar,Clasificar,,185.0,15.0,72.0
,Clasificar,Clasificar,,242.0,229.0,39.0
,Clasificar,Clasificar,,163.0,106.0,23.0
,Clasificar,Clasificar,,182.0,91.0,57.0
,Clasificar,Clasificar,,216.0,186.0,43.0
,Clasificar,Clasificar,,160.0,22.0,60.0
,Clasificar,Clasificar,,206.0,32.0,90.0
,Clasificar,Clasificar,,122.0,113.0,124.0
,Clasificar,Clasificar,,128.0,59.0,82.0
,Clasificar,Clasificar,,31.0,28.0,35.0
,Clasificar,Clasificar,,147.0,104.0,56.0
,Clasificar,Clasificar,,195.0,189.0,196.0
,Clasificar,Clasificar,,203.0,63.0,35.0
,Clasificar,Clasificar,,92.0,86.0,97.0
,Clasificar,Clasificar,,161.0,153.0,160.0
,Clasificar,Clasificar,,127.0,108.0,135.0
,Clasificar,Clasificar,,196.0,198.0,197.0
,Clasificar,Clasificar,,78.0,78.0,78.0
,Clasificar,Clasificar,,167.0,167.0,167.0
,Clasificar,Clasificar,,116.0,116.0,115.0
,Clasificar,Clasificar,,7.0,197.0,105.0
,Clasificar,Clasificar,,67.0,207.0,141.0
,Clasificar,Clasificar,,102,157,174
